1861676,nationalExpress,"Hamburg Hbf","53.553533,10.00636","Rostock Hbf","54.078197,12.131257"
Status-ID ,Category        ,"Departure station name"                             ,"Departure station coordinates" ,"Destination station name"                           ,"Destination station coordinates"
  1861245 ,subway          ,"Wandsbek Markt, Hamburg"                            ,"53.571637,10.06675"            ,"Stephansplatz (Oper/CCH), Hamburg"                  ,"53.558549,9.989317"
  1861518 ,subway          ,"Gänsemarkt (Oper), Hamburg"                         ,"53.555609,9.986045"            ,"Jungfernstieg, Hamburg"                             ,"53.553209,9.994701"
  1861542 ,subway          ,"Jungfernstieg, Hamburg"                             ,"53.553209,9.994701"            ,"Hamburg Hbf"                                        ,"53.553533,10.00636"
  1861676 ,nationalExpress ,"Hamburg Hbf"                                        ,"53.553533,10.00636"            ,"Rostock Hbf"                                        ,"54.078197,12.131257"
  1889366 ,tram            ,"Majakowskistraße, Rostock"                          ,"54.069711,12.116246"           ,"Hauptbahnhof (U), Rostock"                          ,"54.078359,12.130907"
  1889470 ,nationalExpress ,"Rostock Hbf"                                        ,"54.078197,12.131257"           ,"Stralsund Hbf"                                      ,"54.308438,13.078028"
  1889735 ,regional        ,"Stralsund Hbf"                                      ,"54.308438,13.078028"           ,Prora                                                ,"54.445002,13.564039"
  1890044 ,regional        ,Prora                                                ,"54.445002,13.564039"           ,"Stralsund Hbf"                                      ,"54.308438,13.078028"
  1890400 ,nationalExpress ,"Stralsund Hbf"                                      ,"54.308438,13.078028"           ,"Rostock Hbf"                                        ,"54.078197,12.131257"
  1890764 ,tram            ,"Hauptbahnhof (U), Rostock"                          ,"54.078359,12.130907"           ,"Lomonossowstraße, Rostock"                          ,"54.065289,12.117243"
  1981329 ,regional        ,"Rostock Hbf"                                        ,"54.078197,12.131257"           ,"Berlin Hbf"                                         ,"52.3928,13.036498"
  1982090 ,nationalExpress ,"Berlin Hbf"                                         ,"52.524924,13.369629"           ,"Hannover Hbf"                                       ,"52.377079,9.741763"
  1983617 ,tram            ,"Hannover Hbf"                                       ,"52.377079,9.741763"            ,"Hannover Dragonerstraße"                            ,"52.39423,9.735372"
  1986394 ,tram            ,"Hannover Dragonerstraße"                            ,"52.394176,9.735309"            ,"Hannover Hbf"                                       ,"52.377079,9.741763"
  1988158 ,tram            ,"Hannover Hbf"                                       ,"52.377079,9.741763"            ,"Hannover Dragonerstraße"                            ,"52.39423,9.735372"
  1990086 ,tram            ,"Hannover Dragonerstraße"                            ,"52.394176,9.735309"            ,"Hannover Hbf"                                       ,"52.377079,9.741763"
  1990337 ,nationalExpress ,"Hannover Hbf"                                       ,"52.377079,9.741763"            ,"Hamburg Hbf"                                        ,"53.553533,10.00636"
  1990643 ,regional        ,"Hamburg Hbf"                                        ,"53.553533,10.00636"            ,"Rostock Hbf"                                        ,"54.078197,12.131257"
  1990959 ,tram            ,"Hauptbahnhof (U), Rostock"                          ,"54.078359,12.130907"           ,"Lomonossowstraße, Rostock"                          ,"54.065289,12.117243"
  2052737 ,nationalExpress ,"Rostock Hbf"                                        ,"54.078197,12.131257"           ,Frankfurt(Main)Hbf                                   ,"50.106817,8.663003"
  2057463 ,tram            ,"Kasinostraße, Darmstadt"                            ,"49.875066,8.643398"            ,"Luisenplatz, Darmstadt"                             ,"49.872882,8.651254"
  2057944 ,bus             ,"Willy-Brandt-Platz, Darmstadt"                      ,"49.876019,8.650266"            ,"Bessunger Forsthaus Jugendhof, Darmstadt"           ,"49.864836,8.725577"
  2058523 ,bus             ,"Hofgut Oberfeld, Darmstadt"                         ,"49.873115,8.682079"            ,"Kasinostraße, Darmstadt"                            ,"49.875066,8.643398"
  2058552 ,bus             ,"Kasinostraße, Darmstadt"                            ,"49.875066,8.643398"            ,"Darmstadt Hbf"                                      ,"49.872549,8.629707"
  2058615 ,suburban        ,"Darmstadt Hbf"                                      ,"49.872549,8.629707"            ,Frankfurt(Main)Hbf                                   ,"50.106817,8.663003"
  2059740 ,suburban        ,Frankfurt-Hauptwache                                 ,"50.114044,8.678285"            ,"Offenbach(Main) Marktplatz"                         ,"50.105846,8.76353"
  2059827 ,bus             ,"Zentrum Marktplatz/Frankf. Straße, Offenbach am Ma" ,"50.104884,8.764519"            ,"Bürgel Alicestraße, Offenbach am Main"              ,"50.115195,8.783594"
  2060808 ,bus             ,"Bürgel Alicestraße, Offenbach am Main"              ,"50.115195,8.783594"            ,"Zentrum Marktplatz/Berliner Str., Offenbach am Mai" ,"50.105612,8.764555"
  2060823 ,suburban        ,"Offenbach(Main) Marktplatz"                         ,"50.105846,8.76353"             ,Frankfurt(Main)Hbf                                   ,"50.106817,8.663003"
  2060871 ,suburban        ,Frankfurt(Main)Hbf                                   ,"50.106817,8.663003"            ,"Darmstadt Hbf"                                      ,"49.872549,8.629707"
  2062567 ,bus             ,"Kasinostraße, Darmstadt"                            ,"49.875066,8.643398"            ,"Darmstadt Hbf"                                      ,"49.872549,8.629707"
  2062610 ,suburban        ,"Darmstadt Hbf"                                      ,"49.872549,8.629707"            ,Frankfurt(Main)Süd                                   ,"50.099302,8.686187"
  2062865 ,tram            ,"Südbahnhof, Frankfurt a.M."                         ,"50.099913,8.685719"            ,"Otto-Hahn-Platz, Frankfurt a.M."                    ,"50.101864,8.675678"
  2064673 ,regional        ,Frankfurt(Main)Hbf                                   ,"50.106817,8.663003"            ,"Darmstadt Hbf"                                      ,"49.872549,8.629707"
  2064674 ,bus             ,"Darmstadt Hbf"                                      ,"49.872549,8.629707"            ,"Kasinostraße, Darmstadt"                            ,"49.875066,8.643398"
  2066351 ,bus             ,"Kasinostraße, Darmstadt"                            ,"49.875066,8.643398"            ,"Darmstadt Hbf"                                      ,"49.872549,8.629707"
  2066450 ,suburban        ,"Darmstadt Hbf"                                      ,"49.872549,8.629707"            ,Frankfurt(Main)Hbf                                   ,"50.106817,8.663003"
  2106376 ,tram            ,"Lomonossowstraße, Rostock"                          ,"54.065307,12.117342"           ,"Kröpeliner Tor, Rostock"                            ,"54.089847,12.129729"
  2107230 ,tram            ,"Kröpeliner Tor, Rostock"                            ,"54.089811,12.129738"           ,"Südstadt-Center, Rostock"                           ,"54.072111,12.117198"
  2132036 ,tram            ,"Lomonossowstraße, Rostock"                          ,"54.065307,12.117342"           ,"Neuer Markt, Rostock"                               ,"54.088912,12.140525"
  2132727 ,tram            ,"Neuer Markt, Rostock"                               ,"54.088849,12.140426"           ,"Lomonossowstraße, Rostock"                          ,"54.065289,12.117243"
  2148412 ,tram            ,"Lomonossowstraße, Rostock"                          ,"54.065307,12.117342"           ,"Hauptbahnhof (U), Rostock"                          ,"54.078359,12.130907"
  2148656 ,nationalExpress ,"Rostock Hbf"                                        ,"54.078197,12.131257"           ,"Hamburg Hbf"                                        ,"53.553533,10.00636"
  2149164 ,nationalExpress ,"Hamburg Hbf"                                        ,"53.553533,10.00636"            ,"Köln Hbf"                                           ,"50.942823,6.959197"
  2150283 ,suburban        ,"Köln Hbf"                                           ,"50.942823,6.959197"            ,"Köln Messe/Deutz"                                   ,"50.940874,6.975001"
